id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-A4AB49C7304E49A390B1-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,52 dk.,"56,4 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-73238CE5C77144989DCC-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,40 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-78A8D17ED9864909A109-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,55 dk.,"58,2 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-04B0AF6F39AD4E599E46-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"51,5 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-20E46A22A7B54801B6A3-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"56,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-84437DC122D346BFB5E5-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,55 dk.,"58,2 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-180B515D9652450194C0-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,41 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-93FFC7CB43F040EAAB3E-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"51,5 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-0DFE12167ECC4CB79997-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,44 dk.,"47,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-8BEFFCDF877F474EBD3B-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-F22293810ACC4A93AAD6-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,55 dk.,"58,2 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-A9482B3BF0EB4DDFBA3D-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"56,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-A2007FF5BCC74C32B797-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,55 dk.,"58,2 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-C919429AA9044E6298FA-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,44 dk.,"51,5 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-C762C2818EB94FF68CCB-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,44 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-469BEE5FDC454E3DA9E4-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"56,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-67EAADF70C53461D810C-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,43 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-96B76F2B3F2848E5AE7B-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,56 dk.,"58,2 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-281282657D4F4C3AA182-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,49 dk.,"56,4 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-90364769D77D4C9FBD45-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,45 dk.,"51,5 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-C525F8CD9C3F4AEB8B8A-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,41 dk.,"30,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
DD-593794FB8C444F799688-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,56 dk.,"58,1 km",MG-CEDQAJNDAVIO6SAUBPVX,40.9864251,29.066357
DD-E8F3FF6D62DC44099C9A-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,51 dk.,"56,6 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-5EFDBD461C954A73B488-2024-3-3,2024-3-3,DP-9NCBLLHI6RU2U7SXDNRH,40.8833157,29.3681184,45 dk.,"47,4 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
